,Energy,Error,Method,Architecture
259,0.160508750345913,0.247188765356772,Ratio-FlexiBO+GP,SqueezeNet
260,0.156641194141319,0.263554180898153,Ratio-FlexiBO+GP,SqueezeNet
261,0.134190630511684,0.329810840660285,Ratio-FlexiBO+GP,SqueezeNet
262,0.319533306660532,0.181680478720086,Ratio-FlexiBO+RF,SqueezeNet
263,0.267395297918521,0.191713015989185,Ratio-FlexiBO+RF,SqueezeNet
264,0.249529791852126,0.2018410320709,Ratio-FlexiBO+RF,SqueezeNet
265,0.208427628354521,0.209046520952632,Ratio-FlexiBO+RF,SqueezeNet
266,0.191775708412935,0.21202168928545,Ratio-FlexiBO+RF,SqueezeNet
267,0.185457588578706,0.224442908072668,Ratio-FlexiBO+RF,SqueezeNet
,0.174190630511684,0.24023534967707,Ratio-FlexiBO+RF,SqueezeNet
,0.162923672444662,0.292146642037816,Ratio-FlexiBO+RF,SqueezeNet
,0.139522190103724,0.322813180925522,Ratio-FlexiBO+RF,SqueezeNet
