,Energy,Error,Architecture,Method,cost
93,0.295759063292158,0.227145397744563,LeNet,SMSEGO,0
94,0.285116484931397,0.230131383618855,LeNet,SMSEGO,0
95,0.271194624391422,0.236962824467598,LeNet,SMSEGO,0
96,0.277491650907335,0.238075373490985,LeNet,SMSEGO,0
97,0.260471572848348,0.240462200497823,LeNet,SMSEGO,0
98,0.184022049651954,0.261152,LeNet,SMSEGO,0
99,0.177765259727196,0.269422293545937,LeNet,SMSEGO,0
100,0.167042208184122,0.290732298690966,LeNet,SMSEGO,0
101,0.160966482919567,0.327544166161952,LeNet,SMSEGO,0
102,0.159377137568905,0.34247604518971,LeNet,SMSEGO,0
103,0.2542146773524,0.122326134679496,MobileNet,Ratio-FlexiBO+GP,0
104,0.248335561650534,0.164041123629371,MobileNet,Ratio-FlexiBO+GP,0
105,0.221533823308453,0.188308950992083,MobileNet,Ratio-FlexiBO+GP,0
106,0.184040461147061,0.199062459624935,MobileNet,Ratio-FlexiBO+GP,0
107,0.178320643385209,0.201508950992083,MobileNet,Ratio-FlexiBO+GP,0
108,0.176318275002356,0.21523261346795,MobileNet,Ratio-FlexiBO+GP,0
109,0.156210857380059,0.215457610367427,MobileNet,Ratio-FlexiBO+GP,0
110,0.151967998818355,0.226020241385075,MobileNet,Ratio-FlexiBO+GP,0
111,0.149194711630288,0.237024592522767,MobileNet,Ratio-FlexiBO+GP,0
112,0.138290012300311,0.248041123629371,MobileNet,Ratio-FlexiBO+GP,0
113,0.107222526122244,0.259022342822893,MobileNet,Ratio-FlexiBO+GP,0
114,0.096946566226861,0.262296776379731,MobileNet,Ratio-FlexiBO+GP,0
115,0.224445123550639,0.219377660136363,MobileNet,Ratio-FlexiBO+RF,0
116,0.218683421065365,0.22006057609765,MobileNet,Ratio-FlexiBO+RF,0
117,0.182210857380059,0.220605760976505,MobileNet,Ratio-FlexiBO+RF,0
118,0.17194051284402,0.221305506455589,MobileNet,Ratio-FlexiBO+RF,0
119,0.132397363709753,0.280165438438308,MobileNet,Ratio-FlexiBO+RF,0
120,0.109169465662269,0.292229677637973,MobileNet,Ratio-FlexiBO+RF,0
121,0.196631827500236,0.112326134679496,MobileNet,Log-FlexiBO+GP,0
122,0.186210857380059,0.114576103674266,MobileNet,Log-FlexiBO+GP,0
123,0.151967998818355,0.120202413850755,MobileNet,Log-FlexiBO+GP,0
124,0.134194711630288,0.140245925227671,MobileNet,Log-FlexiBO+GP,0
125,0.088290012300311,0.160411236293708,MobileNet,Log-FlexiBO+GP,0
126,0.067222526122244,0.209022342822893,MobileNet,Log-FlexiBO+GP,0
127,0.049465662268605,0.252229677637973,MobileNet,Log-FlexiBO+GP,0
128,0.226444512355064,0.153776601363633,MobileNet,Log-FlexiBO+RF,0
129,0.204868342106536,0.160060576097651,MobileNet,Log-FlexiBO+RF,0
