,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_freq,emc_freq,inference_time,energy_consumption,temperature
0,1,0,1,0,960000,140250000,1600000000,0.6682889461517334,61031.0,38281.25
1,1,1,0,1,960000,1211250000,1600000000,0.416964054107666,34802.0,39062.5
2,1,1,1,1,1574400,140250000,800000000,0.8428549766540527,46033.0,38678.57142857143
3,1,1,0,1,652800,497250000,800000000,0.832103967666626,37767.0,38583.333333333336
4,1,1,1,1,806400,318750000,68000000,3.80151891708374,14562.0,38250.0
5,1,1,1,1,652800,1300500000,102000000,1.9563279151916504,12158.0,38375.0
6,1,1,1,1,1420800,854250000,1866000000,0.23732590675354004,34626.0,38666.66666666666
7,1,1,1,0,1420800,765000000,1062400000,0.3613460063934326,44356.0,38562.5
8,1,1,1,1,2035200,497250000,1600000000,0.27489280700683594,39236.0,38750.0
9,1,0,0,0,1267200,1211250000,1062400000,0.37880802154541016,49465.0,39000.0
10,1,1,0,0,1881600,318750000,800000000,0.3200550079345703,46798.0,38583.333333333336
11,1,0,1,1,1113600,586500000,1062400000,0.3402900695800781,42069.0,38416.66666666666
12,1,1,1,0,960000,318750000,1331200000,0.3920619487762451,43290.0,38428.57142857143
13,1,0,1,1,1113600,318750000,40800000,27.862394094467163,28553.0,37906.25
14,1,1,0,0,1574400,1122000000,40800000,26.740784883499146,31554.0,38312.5
15,1,1,1,0,345600,1300500000,204000000,1.365832805633545,21882.0,38375.0
16,1,0,0,0,1267200,229500000,1331200000,0.4775869846343994,53124.0,38550.0
17,1,0,1,0,652800,318750000,102000000,1.949930191040039,16316.0,38166.66666666666
18,1,1,0,0,1113600,675750000,1331200000,0.5661640167236328,48548.0,38425.0
19,1,1,0,1,1574400,586500000,40800000,27.071491956710812,30075.0,38392.857142857145
20,1,0,0,0,1881600,1211250000,408000000,0.8056268692016602,29915.0,38500.0
21,1,0,0,1,652800,854250000,665600000,0.8645901679992676,33271.0,38468.75
22,1,0,1,0,1881600,1300500000,204000000,0.8777461051940918,19857.0,38750.0
23,1,1,0,0,1574400,1032750000,800000000,0.34525203704833984,36584.0,38861.11111111112
24,1,1,0,0,2035200,408000000,40800000,27.20240807533264,30946.0,38785.71428571428
25,1,1,1,1,1881600,229500000,68000000,2.9184229373931885,14219.0,38812.5
26,1,0,0,0,652800,140250000,800000000,0.8010330200195312,53961.0,39125.0
27,1,0,0,0,1420800,318750000,408000000,0.7655160427093506,27402.0,39107.142857142855
28,1,1,0,0,345600,854250000,40800000,27.1192090511322,25386.0,38875.0
29,1,0,1,0,345600,586500000,800000000,0.8896970748901367,36012.0,39000.0
30,1,1,1,0,1728000,943500000,800000000,0.27944111824035645,32164.0,39281.25
31,1,0,0,1,499200,229500000,1600000000,0.6554439067840576,58596.0,39291.66666666666
32,1,1,1,1,1574400,586500000,1866000000,0.3135809898376465,36570.0,39821.42857142857
33,1,1,1,1,1420800,1122000000,204000000,1.0094540119171145,16883.0,39416.66666666666
34,1,1,1,0,960000,1211250000,102000000,1.6371290683746338,14371.0,39333.333333333336
35,1,1,1,0,1881600,854250000,1600000000,0.2057960033416748,33751.0,39900.0
36,1,0,0,1,960000,318750000,40800000,26.233773946762085,27676.0,39071.42857142857
37,1,1,1,1,1728000,1122000000,800000000,0.33500099182128906,41651.0,39312.5
38,1,0,1,0,499200,943500000,1866000000,0.8102309703826904,48531.0,39750.0
39,1,0,0,1,345600,229500000,408000000,1.3700380325317385,41084.0,39384.61538461538
40,1,0,1,0,2035200,497250000,40800000,25.717538833618164,27705.0,39428.57142857143
41,1,1,1,0,1881600,318750000,1331200000,0.33430910110473633,39542.0,39833.333333333336
42,1,0,0,0,2035200,1300500000,1866000000,0.17185688018798828,20714.0,40500.0
43,1,1,0,1,345600,765000000,1062400000,0.7399401664733887,34825.0,40031.25
44,1,0,1,0,806400,765000000,665600000,1.0278639793395996,32890.0,39781.25
45,1,0,0,1,499200,408000000,1866000000,0.9016921520233154,58277.0,40350.0
46,1,1,0,1,960000,675750000,40800000,26.469807863235477,25922.0,39678.57142857143
47,1,0,0,1,1574400,943500000,1866000000,0.24516987800598145,44758.0,40300.0
48,1,1,0,1,1420800,1211250000,1062400000,0.3948071002960205,33829.0,40000.0
49,1,0,1,1,960000,943500000,665600000,0.5054190158843994,30913.0,39781.25
50,1,1,1,1,960000,943500000,1866000000,0.3594169616699219,34017.0,40250.0
51,1,1,1,1,1420800,497250000,800000000,0.2959990501403809,36666.0,40000.0
52,1,0,1,1,1728000,854250000,800000000,0.3314518928527832,42380.0,40083.333333333336
53,1,1,1,0,499200,1122000000,68000000,3.4058229923248287,14485.0,39812.5
54,1,1,0,1,1267200,854250000,68000000,3.333420991897583,17537.0,39666.66666666666
55,1,1,1,0,806400,765000000,68000000,2.9322719573974614,10370.0,39500.0
56,1,0,0,1,1574400,1122000000,800000000,0.294417142868042,44051.0,39888.88888888888
57,1,1,1,0,1881600,140250000,408000000,0.7828388214111328,27898.0,39687.5
58,1,0,0,1,1574400,586500000,68000000,2.90010404586792,13838.0,39416.66666666666
59,1,1,1,0,1113600,318750000,204000000,1.1412429809570312,17422.0,39312.5
60,1,1,0,0,806400,318750000,204000000,1.0178461074829102,15932.0,39333.333333333336
