,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption
0,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config0,1,0,0,0,1113600,1,1300500000,1,1062400000,0.39652371406555176,7071.222222222223
1,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config1,1,0,0,0,1113600,1,1300500000,1,1331200000,0.31700754165649414,6825.444444444444
2,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config2,1,0,0,0,1113600,1,1300500000,1,1600000000,0.3109891149732802,7525.888888888889
3,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config3,1,0,0,0,1113600,1,1300500000,1,1866000000,0.30401425891452366,7559.222222222223
4,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config4,1,0,0,0,1113600,1,140250000,1,1062400000,1.660964012145996,5486.0
5,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config5,1,0,0,0,1113600,1,140250000,1,1331200000,1.6244229475657146,6215.111111111111
6,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config6,1,0,0,0,1113600,1,140250000,1,1600000000,1.6293166478474934,6721.888888888889
7,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config7,1,0,0,0,1113600,1,140250000,1,1866000000,1.6036411391364203,6731.666666666667
8,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config8,1,0,0,0,1113600,1,497250000,1,1062400000,0.5832697815365262,4180.666666666667
9,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config9,1,0,0,0,1113600,1,497250000,1,1331200000,0.5589112705654569,4485.444444444444
10,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config10,1,0,0,0,1113600,1,497250000,1,1600000000,0.5435179339514838,4544.666666666667
11,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config11,1,0,0,0,1113600,1,497250000,1,1866000000,0.5281149016486274,4535.222222222223
12,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config12,1,0,0,0,1113600,1,943500000,1,1062400000,0.4359630213843452,4560.888888888889
13,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config13,1,0,0,0,1113600,1,943500000,1,1331200000,0.3551054000854492,4890.222222222223
14,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config14,1,0,0,0,1113600,1,943500000,1,1600000000,0.35309749179416233,5016.888888888889
15,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config15,1,0,0,0,1113600,1,943500000,1,1866000000,0.3642223940955268,4550.666666666667
16,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config16,1,0,0,0,1267200,1,1300500000,1,1062400000,0.3493165704939101,7147.888888888889
17,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config17,1,0,0,0,1267200,1,1300500000,1,1331200000,0.30992844369676376,7578.666666666667
18,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config18,1,0,0,0,1267200,1,1300500000,1,1600000000,0.2919702000088162,8210.555555555555
19,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config19,1,0,0,0,1267200,1,1300500000,1,1866000000,0.28168821334838867,8579.777777777777
20,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config20,1,0,0,0,1267200,1,140250000,1,1062400000,1.6276829242706299,6511.222222222223
21,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config21,1,0,0,0,1267200,1,140250000,1,1331200000,1.6000639067755804,7078.666666666667
22,inceptionv3,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config22,1,0,0,0,1267200,1,140250000,1,1600000000,1.6129125489128961,7358.0
