,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption
0,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config0,1,0,0,0,1113600,1,1300500000,1,1062400000,0.5384747982025146,10807.0
1,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config1,1,0,0,0,1113600,1,1300500000,1,1331200000,0.4765613343980577,13384.0
2,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config2,1,0,0,0,1113600,1,1300500000,1,1600000000,0.45291680759853786,14471.333333333334
3,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config3,1,0,0,0,1113600,1,1300500000,1,1866000000,0.43897231419881183,14567.222222222223
4,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config4,1,0,0,0,1113600,1,140250000,1,1062400000,2.685715357462565,10006.222222222223
5,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config5,1,0,0,0,1113600,1,140250000,1,1331200000,2.6675626701778836,10674.888888888889
6,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config6,1,0,0,0,1113600,1,140250000,1,1600000000,2.6626688639322915,11495.222222222223
7,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config7,1,0,0,0,1113600,1,140250000,1,1866000000,2.6637495623694525,11509.555555555555
8,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config8,1,0,0,0,1113600,1,497250000,1,1062400000,0.893361144595676,7642.333333333333
9,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config9,1,0,0,0,1113600,1,497250000,1,1331200000,0.8510963122049967,8006.444444444444
10,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config10,1,0,0,0,1113600,1,497250000,1,1600000000,0.8312891324361166,8327.222222222223
11,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config11,1,0,0,0,1113600,1,497250000,1,1866000000,0.8234710163540311,8560.777777777777
12,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config12,1,0,0,0,1113600,1,943500000,1,1062400000,0.5984352164798312,8080.0
13,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config13,1,0,0,0,1113600,1,943500000,1,1331200000,0.5593240261077881,8678.888888888889
14,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config14,1,0,0,0,1113600,1,943500000,1,1600000000,0.5203111171722412,9091.777777777777
15,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config15,1,0,0,0,1113600,1,943500000,1,1866000000,0.5005524688296847,9233.888888888889
16,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config16,1,0,0,0,1267200,1,1300500000,1,1062400000,0.5297072463565402,13172.777777777777
17,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config17,1,0,0,0,1267200,1,1300500000,1,1331200000,0.46521427896287704,14354.0
18,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config18,1,0,0,0,1267200,1,1300500000,1,1600000000,0.4428633583916558,15002.333333333334
19,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config19,1,0,0,0,1267200,1,1300500000,1,1866000000,0.41938628090752494,13536.555555555555
20,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config20,1,0,0,0,1267200,1,140250000,1,1062400000,2.7164466645982532,11469.444444444445
21,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config21,1,0,0,0,1267200,1,140250000,1,1331200000,2.683864461051093,12442.888888888889
22,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config22,1,0,0,0,1267200,1,140250000,1,1600000000,2.6741798718770347,13162.666666666666
23,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config23,1,0,0,0,1267200,1,140250000,1,1866000000,2.6507699489593506,13369.666666666666
24,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config24,1,0,0,0,1267200,1,497250000,1,1062400000,0.88998458120558,8150.111111111111
25,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config25,1,0,0,0,1267200,1,497250000,1,1331200000,0.8732835186852349,9335.0
26,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config26,1,0,0,0,1267200,1,497250000,1,1600000000,0.8343383206261529,9790.888888888889
27,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config27,1,0,0,0,1267200,1,497250000,1,1866000000,0.8239306079016792,9931.777777777777
28,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config28,1,0,0,0,1267200,1,943500000,1,1062400000,0.6274742020501031,9265.333333333334
29,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config29,1,0,0,0,1267200,1,943500000,1,1331200000,0.5876301924387614,10490.555555555555
30,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config30,1,0,0,0,1267200,1,943500000,1,1600000000,0.5489104323916965,10776.333333333334
31,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config31,1,0,0,0,1267200,1,943500000,1,1866000000,0.5291461679670546,11399.333333333334
32,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config32,1,0,0,0,1420800,1,1300500000,1,1062400000,0.5270191298590766,14068.555555555555
33,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config33,1,0,0,0,1420800,1,1300500000,1,1331200000,0.4628894593980577,15146.777777777777
34,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config34,1,0,0,0,1420800,1,1300500000,1,1600000000,0.4403097629547119,15904.777777777777
35,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config35,1,0,0,0,1420800,1,1300500000,1,1866000000,0.4118339485592312,16533.333333333332
36,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config36,1,0,0,0,1420800,1,140250000,1,1062400000,2.69706400235494,12197.222222222223
37,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config37,1,0,0,0,1420800,1,140250000,1,1331200000,2.6831268734402127,13757.111111111111
38,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config38,1,0,0,0,1420800,1,140250000,1,1600000000,2.657056358125475,14487.444444444445
39,xception,ILSVRC2017_test_00002118.JPEG,600x600,TX2,Config39,1,0,0,0,1420800,1,140250000,1,1866000000,2.6476173400878906,15170.333333333334
