,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.4135119550733044,0.4443135705783856,0,13.6,FlexiBO+GP-Log,MobileNet,0.6740965524162212,0.00036802667326547465
1,0.2475532909737069,0.29436256898870866,1,0.0,FlexiBO+GP-Log,MobileNet,0.46904543726978587,0.002873813048574144
2,0.3839300706805765,0.2835101600193255,2,0.0,FlexiBO+GP-Log,MobileNet,0.4623595944430725,0.008758983911629745
3,0.40273434312183776,0.20570729860196885,3,0.0,FlexiBO+GP-Log,MobileNet,0.41589061731163435,0.008719349254633886
4,0.2570634688466513,0.2065146972528791,4,0.0,FlexiBO+GP-Log,MobileNet,0.4032978126875659,0.008678793756869028
5,0.3041201794390465,0.2785625439319717,5,0.0,FlexiBO+GP-Log,MobileNet,0.4032978126875659,0.00852453795183278
6,0.4284578353479744,0.2454755681410395,6,0.0,FlexiBO+GP-Log,MobileNet,0.4032978126875659,0.0079645203948172
7,0.1518681438611225,0.3398138093782687,7,13.6,FlexiBO+GP-Log,MobileNet,0.3401277999162289,0.0009384694901158364
8,0.4825735070049181,0.5669088897435777,8,0.0,FlexiBO+GP-Log,MobileNet,0.3401277999162289,0.004251161818528342
9,0.3668160106479371,0.3097048722649693,9,13.6,FlexiBO+GP-Log,MobileNet,0.3401277999162289,0.008085985677791034
10,0.4407099094327069,0.4361879073446661,10,13.6,FlexiBO+GP-Log,MobileNet,0.3401277999162289,0.0042013879838169186
11,0.4415712948991142,0.061828905806466675,11,13.6,FlexiBO+GP-Log,MobileNet,0.25978197533544,0.0023356213305746588
12,0.2848070234918592,0.5027111075365429,12,0.0,FlexiBO+GP-Log,MobileNet,0.25978197533544,0.006407645407753656
13,0.13871196625807378,0.3747816616529869,13,13.6,FlexiBO+GP-Log,MobileNet,0.2515564918354636,0.005665643001903278
14,0.2481045414663721,0.5030268161115405,14,0.0,FlexiBO+GP-Log,MobileNet,0.2515564918354636,0.001283570726137423
15,0.11805653383135273,0.3293966811189712,15,13.6,FlexiBO+GP-Log,MobileNet,0.2361110329827837,0.008449366806820605
16,0.3943917932519872,0.10880103991127284,16,0.0,FlexiBO+GP-Log,MobileNet,0.23153230822775894,0.008907451928903513
17,0.4792497948540269,0.3730484904752469,17,0.0,FlexiBO+GP-Log,MobileNet,0.23153230822775894,0.0004834170574831054
18,0.5179597259040866,0.07547890511186622,18,13.6,FlexiBO+GP-Log,MobileNet,0.23153230822775894,0.004180385382339188
19,0.29239302655129745,0.4591792214629103,19,0.0,FlexiBO+GP-Log,MobileNet,0.23153230822775894,0.004338778446859891
20,0.4634862334775162,0.25433896726731403,20,0.0,FlexiBO+GP-Log,MobileNet,0.23153230822775894,0.002839081344426828
21,0.15204914138971234,0.5900452477662869,21,0.0,FlexiBO+GP-Log,MobileNet,0.23153230822775894,0.008273453649621475
22,0.2761963882517695,0.06256312125062029,22,0.0,FlexiBO+GP-Log,MobileNet,0.21233641144214244,0.009463141453457348
23,0.4830948045210622,0.4912164943443436,23,0.0,FlexiBO+GP-Log,MobileNet,0.21233641144214244,0.001540161720275185
24,0.3401374618969057,0.12335396248410775,24,13.6,FlexiBO+GP-Log,MobileNet,0.21233641144214244,0.004151941030137047
25,0.1243751821544608,0.2766452327788184,25,0.0,FlexiBO+GP-Log,MobileNet,0.20567009277933557,0.0033816774270972938
26,0.26410755949297393,0.3633671310181096,26,13.6,FlexiBO+GP-Log,MobileNet,0.20567009277933557,0.005037079230513081
27,0.2823631564190179,0.06034478445091172,27,0.0,FlexiBO+GP-Log,MobileNet,0.2044881395401369,0.008460006954028163
28,0.114576103674266,0.186210857380059,28,13.6,FlexiBO+GP-Log,MobileNet,0.18836300833995112,0.0034286393994383203
29,0.4026268251173415,0.5549108493389208,29,0.0,FlexiBO+GP-Log,MobileNet,0.18836300833995112,0.0022208057228667167
30,0.4839778347955756,0.5616232754560879,30,0.0,FlexiBO+GP-Log,MobileNet,0.18836300833995112,0.0040784809557445146
31,0.5517663461058857,0.4347619149890469,31,0.0,FlexiBO+GP-Log,MobileNet,0.18836300833995112,0.0005026023733307861
32,0.112326134679496,0.19663182750023606,32,0.0,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.002341869674960696
33,0.5332892620800049,0.3970703112524513,33,0.0,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.00424254533297659
34,0.34492709424879603,0.5332155619095683,34,13.6,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.003992680078517462
35,0.3640547944731784,0.5423302886484503,35,13.6,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.003693927916928974
36,0.3775553617184579,0.5613571638794841,36,0.0,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.0011947821234349599
37,0.4452880904003124,0.5315681716545455,37,0.0,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.0016564319554814911
38,0.43055318243213503,0.5730579853801964,38,0.0,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.006500212051538087
39,0.4786948499495244,0.4859784902474246,39,13.6,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.005253850142388561
40,0.5050711074267634,0.3014317948328701,40,13.6,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.0011249348495151513
41,0.5276390098224865,0.4751369346844178,41,0.0,FlexiBO+GP-Log,MobileNet,0.18655545486044178,0.008493585468478428
42,0.120202413850755,0.15196799881835502,42,0.0,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.009554345629918536
43,0.5593243437987653,0.10987849623370716,43,0.0,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.009232567535286867
44,0.3422003351189451,0.5951999037574044,44,13.6,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.007096373614063506
45,0.28102654241430725,0.4351314536210102,45,13.6,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.009692507317839404
46,0.41447203905561225,0.2361874167190473,46,0.0,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.00752661337297575
47,0.4497834016207868,0.3174246486158249,47,0.0,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.009476039033524264
48,0.15488416849444536,0.4251945026841154,48,13.6,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.006544064885275206
49,0.22380618136046976,0.3340958529646813,49,13.6,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.0044893676648058425
50,0.32587510794131475,0.0887355019861624,50,0.0,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.0004289448599282142
51,0.1529379649539606,0.30577138294917394,51,0.0,FlexiBO+GP-Log,MobileNet,0.18121377525854965,0.006493747032887965
52,0.209022342822893,0.067222526122244,52,0.0,FlexiBO+GP-Log,MobileNet,0.17552107902576952,0.009456436876646174
53,0.2746461512969177,0.5104400936411463,53,0.0,FlexiBO+GP-Log,MobileNet,0.1755210790257694,0.005649560200708269
54,0.16265328637514734,0.4582440452065381,54,13.6,FlexiBO+GP-Log,MobileNet,0.1755210790257694,0.007849019423329046
55,0.4783710201374766,0.3462474739898749,55,0.0,FlexiBO+GP-Log,MobileNet,0.1755210790257694,0.0066377139272045865
