,number_of_cores,core_freq,gpu_freq,emc_freq,inference_time,power_consumption
0,0.0,0.45454545454545453,1.0,0.0,0.2406254874335395,3435.5555555555547
1,0.0,0.45454545454545453,1.0,0.3344947735191638,0.2288426823086209,2919.111111111111
2,0.0,0.45454545454545453,1.0,0.6689895470383276,0.21642390886942545,2978.222222222222
3,0.0,0.45454545454545453,1.0,1.0,0.2096099853515625,3019.666666666666
4,0.0,0.45454545454545453,0.0,0.0,0.929361793729994,3012.4444444444453
5,0.0,0.45454545454545453,0.0,0.3344947735191638,0.8771874374813504,3199.0
6,0.0,0.45454545454545453,0.0,0.6689895470383276,0.8748088942633735,3267.4444444444453
7,0.0,0.45454545454545453,0.0,1.0,0.8875250816345215,3114.5555555555547
8,0.0,0.45454545454545453,0.3076923076923077,0.0,0.3644826942019993,2141.8888888888887
9,0.0,0.45454545454545453,0.3076923076923077,0.3344947735191638,0.32803286446465385,2175.222222222222
10,0.0,0.45454545454545453,0.3076923076923077,0.6689895470383276,0.3123288419511583,2243.444444444445
11,0.0,0.45454545454545453,0.3076923076923077,1.0,0.3074166774749756,2225.6666666666665
12,0.0,0.45454545454545453,0.6923076923076923,0.0,0.26233792304992676,1895.4444444444448
13,0.0,0.45454545454545453,0.6923076923076923,0.3344947735191638,0.2327976226806641,1938.2222222222226
14,0.0,0.45454545454545453,0.6923076923076923,0.6689895470383276,0.220097992155287,2006.0
15,0.0,0.45454545454545453,0.6923076923076923,1.0,0.21216885248819986,2013.5555555555552
16,0.0,0.5454545454545454,1.0,0.0,0.2276897430419922,2910.666666666666
17,0.0,0.5454545454545454,1.0,0.3344947735191638,0.20675251219007704,3071.333333333334
18,0.0,0.5454545454545454,1.0,0.6689895470383276,0.1947422292497423,3307.666666666666
19,0.0,0.5454545454545454,1.0,1.0,0.1866726610395643,3196.888888888889
20,0.0,0.5454545454545454,0.0,0.0,0.8852633635203043,3207.666666666666
21,0.0,0.5454545454545454,0.0,0.3344947735191638,0.9114180670844184,3544.4444444444453
22,0.0,0.5454545454545454,0.0,0.6689895470383276,0.8790930906931559,3825.555555555556
23,0.0,0.5454545454545454,0.0,1.0,0.8726058536105685,3924.666666666666
24,0.0,0.5454545454545454,0.3076923076923077,0.0,0.3241491847568088,2183.777777777778
25,0.0,0.5454545454545454,0.3076923076923077,0.3344947735191638,0.3312879138522678,2133.222222222222
26,0.0,0.5454545454545454,0.3076923076923077,0.6689895470383276,0.2960083484649658,2454.1111111111113
27,0.0,0.5454545454545454,0.3076923076923077,1.0,0.2892779244316949,2479.777777777778
28,0.0,0.5454545454545454,0.6923076923076923,0.0,0.2350917127397325,1929.666666666667
29,0.0,0.5454545454545454,0.6923076923076923,0.3344947735191638,0.2140843603346083,2022.888888888889
