,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,Deepspeech,0.0,0.5912738135183715,0.26158459202123,0,FlexiBO+GP-Log,0.008120549286121078,0.0,0.0,0.6981902862575615
1,Deepspeech,0.0,0.145893684106069,0.225803313748955,1,FlexiBO+GP-Log,0.007997744957524899,0.0,1.0,0.33875372052883035
2,Deepspeech,0.0,0.2767262591716245,0.2000824660255969,2,FlexiBO+GP-Log,0.0023434976125418948,0.0,2.0,0.3201505067786801
3,Deepspeech,0.0,0.5172837868581971,0.2716516719982319,3,FlexiBO+GP-Log,0.0003022857285175906,0.0,3.0,0.3201505067786801
4,Deepspeech,25.7,0.14561275421422384,0.2613013355259786,4,FlexiBO+GP-Log,0.0017953562368466902,25.7,4.0,0.31994298424276324
5,Deepspeech,0.0,0.5588937036677762,0.4591898600241573,5,FlexiBO+GP-Log,0.00747200296930433,25.7,5.0,0.31994298424276324
6,Deepspeech,0.0,0.2511755205533853,0.4387982210026896,6,FlexiBO+GP-Log,0.00017311325353957743,25.7,6.0,0.31994298424276324
7,Deepspeech,0.0,0.4544520392293451,0.37910378242422255,7,FlexiBO+GP-Log,0.004951959005918681,25.7,7.0,0.31994298424276324
8,Deepspeech,0.0,0.4696162851339966,0.2362671172191193,8,FlexiBO+GP-Log,0.00064912740355218,25.7,8.0,0.31994298424276324
9,Deepspeech,0.0,0.4861482762804256,0.2476090561458376,9,FlexiBO+GP-Log,0.004638801835058364,25.7,9.0,0.31994298424276324
10,Deepspeech,25.7,0.25466933294536337,0.4625042646101544,10,FlexiBO+GP-Log,0.009602833658053093,51.4,10.0,0.31994298424276324
11,Deepspeech,0.0,0.2444273933277251,0.4302824902105677,11,FlexiBO+GP-Log,0.009474445265657657,51.4,11.0,0.31994298424276324
12,Deepspeech,0.0,0.4888150231323623,0.4261922142143301,12,FlexiBO+GP-Log,9.143683519843184e-05,51.4,12.0,0.31994298424276324
13,Deepspeech,25.7,0.30674309692060275,0.41910275444221023,13,FlexiBO+GP-Log,0.0047129918676628675,77.1,13.0,0.31994298424276324
14,Deepspeech,0.0,0.2125455208192252,0.4532631163608163,14,FlexiBO+GP-Log,0.006882695145590288,77.1,14.0,0.31994298424276324
15,Deepspeech,0.0,0.4043534105768265,0.4166432134223942,15,FlexiBO+GP-Log,0.008149775042001072,77.1,15.0,0.31994298424276324
16,Deepspeech,0.0,0.218932113520251,0.20061846786331305,16,FlexiBO+GP-Log,0.0023955675660967345,77.1,16.0,0.31848744759144104
17,Deepspeech,0.0,0.4176526715361569,0.4352349037539089,17,FlexiBO+GP-Log,0.0048166482024396525,77.1,17.0,0.31848744759144104
18,Deepspeech,25.7,0.33086332997448464,0.45019747372763397,18,FlexiBO+GP-Log,0.002039153783579973,102.8,18.0,0.31848744759144104
19,Deepspeech,0.0,0.4675969100082852,0.4094784973250852,19,FlexiBO+GP-Log,0.0010413537533120742,102.8,19.0,0.31848744759144104
20,Deepspeech,0.0,0.1256780812215696,0.370635564501983,20,FlexiBO+GP-Log,0.0019902405049665893,102.8,20.0,0.3059412733765816
21,Deepspeech,0.0,0.4678587553252509,0.2581700331848876,21,FlexiBO+GP-Log,0.0009327307891803594,102.8,21.0,0.3059412733765816
22,Deepspeech,0.0,0.257293072781684,0.3545308573054266,22,FlexiBO+GP-Log,0.0050598554040839575,102.8,22.0,0.3059412733765816
23,Deepspeech,25.7,0.5146364332382019,0.3029468588388601,23,FlexiBO+GP-Log,0.002860986950326875,128.5,23.0,0.3059412733765816
