,Energy,Error,Method,Architecture
62,0.130769480778829,0.295850511506825,Ratio-FlexiBO+GP,Deepspeech
63,0.26175326229743,0.248462868961011,Ratio-FlexiBO+RF,Deepspeech
64,0.230332923605815,0.263106557377836,Ratio-FlexiBO+RF,Deepspeech
65,0.218646943881945,0.265878677401424,Ratio-FlexiBO+RF,Deepspeech
66,0.212942376383048,0.266445515940343,Ratio-FlexiBO+RF,Deepspeech
67,0.203015603939983,0.271532480985853,Ratio-FlexiBO+RF,Deepspeech
68,0.183429733624692,0.27403809265082,Ratio-FlexiBO+RF,Deepspeech
69,0.162681971428443,0.276914469289613,Ratio-FlexiBO+RF,Deepspeech
70,0.158251339201286,0.281242798203761,Ratio-FlexiBO+RF,Deepspeech
71,0.147449337151908,0.287718256757195,Ratio-FlexiBO+RF,Deepspeech
72,0.142545511961503,0.299038862247289,Ratio-FlexiBO+RF,Deepspeech
