,Architecture,Method,Contribution
148,BERT-IMDB,RS,0.073913831226014
149,BERT-IMDB,RS,0.06719574786059326
150,BERT-IMDB,SOBO (Acc),0.18926410566239094
151,BERT-IMDB,SOBO (Acc),0.23635909978460296
152,BERT-IMDB,SOBO (Acc),0.24617491887638387
153,BERT-IMDB,SOBO (Acc),0.2793829276299433
154,BERT-IMDB,SOBO (Acc),0.27712870945375234
155,BERT-IMDB,SOBO (EC),0.3957638359525594
156,BERT-IMDB,SOBO (EC),0.35935981541974416
157,BERT-IMDB,SOBO (EC),0.36833930662543873
158,BERT-IMDB,SOBO (EC),0.39401543555756463
159,BERT-IMDB,SOBO (EC),0.3782167307467648
0,Xception,FlexiBO + GP (Actual),0.6462157478794721
1,Xception,FlexiBO + GP (Actual),0.6942932101028204
2,Xception,FlexiBO + GP (Actual),0.7080881026794201
3,Xception,FlexiBO + GP (Actual),0.6392079593738587
4,Xception,FlexiBO + GP (Actual),0.6399466836246664
5,Xception,FlexiBO + RF (Actual),0.5696026018746769
6,Xception,FlexiBO + RF (Actual),0.5965141096160615
7,Xception,FlexiBO + RF (Actual),0.5847665594421815
8,Xception,FlexiBO + RF (Actual),0.5973483251963907
9,Xception,FlexiBO + RF (Actual),0.569305509535928
10,SqueezeNet,FlexiBO + GP (Actual),0.4542774658175876
11,SqueezeNet,FlexiBO + GP (Actual),0.4914544892252148
12,SqueezeNet,FlexiBO + GP (Actual),0.484440527431296
13,SqueezeNet,FlexiBO + GP (Actual),0.4787004349669799
14,SqueezeNet,FlexiBO + GP (Actual),0.4528097812352214
15,SqueezeNet,FlexiBO + RF (Actual),0.4106544366695536
16,SqueezeNet,FlexiBO + RF (Actual),0.4432415428316144
17,SqueezeNet,FlexiBO + RF (Actual),0.4015579070139009
18,SqueezeNet,FlexiBO + RF (Actual),0.3888085732848811
19,SqueezeNet,FlexiBO + RF (Actual),0.3952291403678149
20,ResNet,FlexiBO + GP (Actual),0.7121838453173904
21,ResNet,FlexiBO + GP (Actual),0.6735213894258377
22,ResNet,FlexiBO + GP (Actual),0.6916770625854127
23,ResNet,FlexiBO + GP (Actual),0.6679948089708938
24,ResNet,FlexiBO + GP (Actual),0.6519929054205618
25,ResNet,FlexiBO + RF (Actual),0.6422992725341703
26,ResNet,FlexiBO + RF (Actual),0.6418065815554106
27,ResNet,FlexiBO + RF (Actual),0.6396007163217365
28,ResNet,FlexiBO + RF (Actual),0.6059017527353333
29,ResNet,FlexiBO + RF (Actual),0.6324901702093871
30,LeNet,FlexiBO + GP (Actual),0.6743311183660714
31,LeNet,FlexiBO + GP (Actual),0.6556319301912129
32,LeNet,FlexiBO + GP (Actual),0.6633023489211831
33,LeNet,FlexiBO + GP (Actual),0.7147687703962068
34,LeNet,FlexiBO + GP (Actual),0.7071136150593028
35,LeNet,FlexiBO + RF (Actual),0.5770531432992255
36,LeNet,FlexiBO + RF (Actual),0.5998022657663972
37,LeNet,FlexiBO + RF (Actual),0.5867380729245998
38,LeNet,FlexiBO + RF (Actual),0.6259413554320695
39,LeNet,FlexiBO + RF (Actual),0.5916795729541987
40,MobileNet,FlexiBO + GP (Actual),0.6279216813312231
41,MobileNet,FlexiBO + GP (Actual),0.6283824165254787
42,MobileNet,FlexiBO + GP (Actual),0.6319103458307737
43,MobileNet,FlexiBO + GP (Actual),0.6390085075891357
44,MobileNet,FlexiBO + GP (Actual),0.6340784952719051
45,MobileNet,FlexiBO + RF (Actual),0.5604058058663797
46,MobileNet,FlexiBO + RF (Actual),0.5479932392285961
47,MobileNet,FlexiBO + RF (Actual),0.579695783200804
48,MobileNet,FlexiBO + RF (Actual),0.5826906439230475
49,MobileNet,FlexiBO + RF (Actual),0.5802307092983526
50,DeepSpeech,FlexiBO + GP (Actual),0.6885975152140266
51,DeepSpeech,FlexiBO + GP (Actual),0.6460672625264428
52,DeepSpeech,FlexiBO + GP (Actual),0.6388482335418888
53,DeepSpeech,FlexiBO + GP (Actual),0.7019155173592267
54,DeepSpeech,FlexiBO + GP (Actual),0.6644795306816413
55,DeepSpeech,FlexiBO + RF (Actual),0.5787132539579959
56,DeepSpeech,FlexiBO + RF (Actual),0.6288690191837213
57,DeepSpeech,FlexiBO + RF (Actual),0.6001157108995483
58,DeepSpeech,FlexiBO + RF (Actual),0.5974786413859938
59,DeepSpeech,FlexiBO + RF (Actual),0.6033522787657578
60,BERT-SQuAD,FlexiBO + GP (Actual),0.659285465607038
61,BERT-SQuAD,FlexiBO + GP (Actual),0.613812435035326
62,BERT-SQuAD,FlexiBO + GP (Actual),0.6285363180025313
63,BERT-SQuAD,FlexiBO + GP (Actual),0.671659190209629
