,Architecture,Method,Contribution
24,Xception,FlexiBO + RF (Opt),0.5617429897272417
25,Xception,FlexiBO + RF (Pess),0.5265479480729027
26,Xception,FlexiBO + RF (Pess),0.5412202505514356
27,Xception,FlexiBO + RF (Pess),0.4919805759610131
28,Xception,FlexiBO + RF (Pess),0.5267215197178263
29,Xception,FlexiBO + RF (Pess),0.5007171649954679
30,SqueezeNet,FlexiBO + GP (Actual),0.43878605653282027
31,SqueezeNet,FlexiBO + GP (Actual),0.3920301274463352
32,SqueezeNet,FlexiBO + GP (Actual),0.4508283473263172
33,SqueezeNet,FlexiBO + GP (Actual),0.4281934754241713
34,SqueezeNet,FlexiBO + GP (Actual),0.38450321261879933
35,SqueezeNet,FlexiBO + GP (Opt),0.6255071539325953
36,SqueezeNet,FlexiBO + GP (Opt),0.6789784468064329
37,SqueezeNet,FlexiBO + GP (Opt),0.6707672051846172
38,SqueezeNet,FlexiBO + GP (Opt),0.6676119044289348
39,SqueezeNet,FlexiBO + GP (Opt),0.6531883868701008
40,SqueezeNet,FlexiBO + GP (Pess),0.5619800105304498
41,SqueezeNet,FlexiBO + GP (Pess),0.5430529196683064
42,SqueezeNet,FlexiBO + GP (Pess),0.5497659209109262
43,SqueezeNet,FlexiBO + GP (Pess),0.508384375627873
44,SqueezeNet,FlexiBO + GP (Pess),0.5576441127910238
45,SqueezeNet,FlexiBO + RF (Actual),0.3548907267372396
46,SqueezeNet,FlexiBO + RF (Actual),0.3614269364896111
47,SqueezeNet,FlexiBO + RF (Actual),0.3789756829167753
48,SqueezeNet,FlexiBO + RF (Actual),0.3561420080457315
49,SqueezeNet,FlexiBO + RF (Actual),0.3550302503680652
50,SqueezeNet,FlexiBO + RF (Opt),0.5651054289804267
51,SqueezeNet,FlexiBO + RF (Opt),0.5753628141061738
52,SqueezeNet,FlexiBO + RF (Opt),0.5656698149492146
53,SqueezeNet,FlexiBO + RF (Opt),0.5792157592437142
54,SqueezeNet,FlexiBO + RF (Opt),0.5718270282089101
55,SqueezeNet,FlexiBO + RF (Pess),0.498903318042338
56,SqueezeNet,FlexiBO + RF (Pess),0.4996035806282813
57,SqueezeNet,FlexiBO + RF (Pess),0.5013220422559468
58,SqueezeNet,FlexiBO + RF (Pess),0.5455542481279421
