,Error,Energy,Method,Architecture
2,0.239609022443494,0.282479694634138,Ratio-FlexiBO+RF,BERT-IMDB
10,0.240244031677754,0.225726845312325,Ratio-FlexiBO+RF,BERT-IMDB
7,0.257310995713028,0.202889109174792,Ratio-FlexiBO+RF,BERT-IMDB
5,0.275962413797001,0.191054890621535,Ratio-FlexiBO+RF,BERT-IMDB
9,0.282726629261584,0.172220915179026,Ratio-FlexiBO+RF,BERT-IMDB
6,0.284540975479513,0.161198403644168,Ratio-FlexiBO+RF,BERT-IMDB
4,0.290055325183345,0.150949142928177,Ratio-FlexiBO+RF,BERT-IMDB
12,0.296875342865124,0.143142856638326,Ratio-FlexiBO+RF,BERT-IMDB
1,0.304676040039922,0.130947983818569,Ratio-FlexiBO+RF,BERT-IMDB
8,0.151988590026838,0.318749085534591,FlexiBO+GP-No Cost,BERT-IMDB
10,0.155870596181486,0.271619940728899,FlexiBO+GP-No Cost,BERT-IMDB
14,0.172461735952344,0.229478885228758,FlexiBO+GP-No Cost,BERT-IMDB
11,0.172930248709465,0.21520404281545,FlexiBO+GP-No Cost,BERT-IMDB
22,0.175861619155762,0.191806768362723,FlexiBO+GP-No Cost,BERT-IMDB
21,0.180419674709515,0.181379756944411,FlexiBO+GP-No Cost,BERT-IMDB
2,0.182543196611451,0.17172855415083,FlexiBO+GP-No Cost,BERT-IMDB
16,0.190888021091495,0.169042187945959,FlexiBO+GP-No Cost,BERT-IMDB
4,0.194051744088136,0.160751178214763,FlexiBO+GP-No Cost,BERT-IMDB
17,0.195051487732145,0.160107137771576,FlexiBO+GP-No Cost,BERT-IMDB
19,0.197375231932877,0.159992075035691,FlexiBO+GP-No Cost,BERT-IMDB
5,0.2047874972655,0.153831442544715,FlexiBO+GP-No Cost,BERT-IMDB
0,0.211890888776057,0.150804326694918,FlexiBO+GP-No Cost,BERT-IMDB
24,0.213608256182859,0.148559393269945,FlexiBO+GP-No Cost,BERT-IMDB
15,0.217828253049066,0.139920893125304,FlexiBO+GP-No Cost,BERT-IMDB
20,0.218627448274338,0.12801817591611,FlexiBO+GP-No Cost,BERT-IMDB
18,0.195024710262533,0.295664787634456,FlexiBO+RF-No Cost,BERT-IMDB
21,0.199096909197672,0.284557043885974,FlexiBO+RF-No Cost,BERT-IMDB
20,0.203059522557318,0.263080796540421,FlexiBO+RF-No Cost,BERT-IMDB
16,0.211380290648642,0.242829794206174,FlexiBO+RF-No Cost,BERT-IMDB
10,0.212008435582334,0.232241409633059,FlexiBO+RF-No Cost,BERT-IMDB
12,0.214155235212163,0.223662909951584,FlexiBO+RF-No Cost,BERT-IMDB
8,0.219235732909199,0.212439445155853,FlexiBO+RF-No Cost,BERT-IMDB
15,0.220489167966586,0.216135189859077,FlexiBO+RF-No Cost,BERT-IMDB
13,0.237161809439082,0.20943948151268,FlexiBO+RF-No Cost,BERT-IMDB
17,0.25234925686218,0.197255391592105,FlexiBO+RF-No Cost,BERT-IMDB
19,0.254629577425605,0.184110887225552,FlexiBO+RF-No Cost,BERT-IMDB
14,0.258237072109715,0.180563187482358,FlexiBO+RF-No Cost,BERT-IMDB
0,0.267174031550658,0.173399628147943,FlexiBO+RF-No Cost,BERT-IMDB
4,0.27051795345326,0.161124070926222,FlexiBO+RF-No Cost,BERT-IMDB
7,0.271043619984638,0.151959989728981,FlexiBO+RF-No Cost,BERT-IMDB
6,0.27809510522893,0.146594638279498,FlexiBO+RF-No Cost,BERT-IMDB
1,0.28103263312903,0.132541570118692,FlexiBO+RF-No Cost,BERT-IMDB
