,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.407855024700591,0.3981099042508942,0,6.8,PAL,LeNet,0.3564061958803132,0.0038005371920245977
1,0.5413867948262088,0.3810767080211998,1,6.8,PAL,LeNet,0.36421784459756745,0.004771477727091723
2,0.32166438479557563,0.3532127349301808,2,6.8,PAL,LeNet,0.43873883735752295,0.0047224197591812355
3,0.31628327524959465,0.3613638956415639,3,6.8,PAL,LeNet,0.4421754081950942,0.0052359150350245786
4,0.3718518688498932,0.2954296741802033,4,6.8,PAL,LeNet,0.4784717298173256,0.0026529016889408354
5,0.31172860486716586,0.3895868086106715,5,6.8,PAL,LeNet,0.48125196070119036,0.004434276050261477
6,0.459967102606103,0.18266984773784625,6,6.8,PAL,LeNet,0.5421459764844895,0.0011095975591398778
7,0.4631192657116735,0.4575392274534339,7,6.8,PAL,LeNet,0.5421459764844895,0.00179650536765803
8,0.3987757474341399,0.4919817451176294,8,6.8,PAL,LeNet,0.5421459764844895,0.009252923106436948
9,0.5226040006139749,0.3607844225590404,9,6.8,PAL,LeNet,0.5421459764844895,0.00437880467308733
10,0.2190614520860716,0.37119349508013577,10,6.8,PAL,LeNet,0.6004994604260167,0.0072484245927366695
11,0.2976360180604287,0.2546035150338999,11,6.8,PAL,LeNet,0.611794388280537,0.006756460873831335
12,0.2006255377576137,0.4898831067310186,12,6.8,PAL,LeNet,0.6211988596223432,0.005305175907292243
13,0.3635897167169865,0.2852345876321206,13,6.8,PAL,LeNet,0.6211988596223432,0.00027739987374767464
14,0.20112118028714704,0.485705643910493,14,6.8,PAL,LeNet,0.6212738044407733,0.005423449735002122
15,0.17760738286733405,0.570885478579458,15,6.8,PAL,LeNet,0.6311512289604995,0.003195143945270459
16,0.386842011738566,0.29400959399269005,16,6.8,PAL,LeNet,0.6311512289604995,0.0027718340281098273
17,0.32724600950589666,0.20809403591727596,17,6.8,PAL,LeNet,0.637324017868379,0.004733360314973863
18,0.4678116052573078,0.5070496072627638,18,6.8,PAL,LeNet,0.637324017868379,0.009462750363288072
19,0.3768472166589414,0.24971987915436786,19,6.8,PAL,LeNet,0.6373240178683791,0.005145103071807963
20,0.5357155854797172,0.535588831612834,20,6.8,PAL,LeNet,0.6373240178683791,0.0028428859352446455
21,0.2779454775850766,0.18675283717879948,21,6.8,PAL,LeNet,0.645797239323584,0.00819958750044905
22,0.2561004474622059,0.3825806506157791,22,6.8,PAL,LeNet,0.645797239323584,0.003752952160343589
23,0.5399800509557968,0.5456076933115528,23,6.8,PAL,LeNet,0.645797239323584,0.0013888509840655173
24,0.4939081889280255,0.5008801660381872,24,6.8,PAL,LeNet,0.645797239323584,0.002942492560962484
25,0.5041070008396806,0.4564139651006528,25,6.8,PAL,LeNet,0.645797239323584,0.00045554394869578684
26,0.21040874229936235,0.5478164708250624,26,6.8,PAL,LeNet,0.645797239323584,0.004655700930253751
27,0.26590395528238125,0.20332605620659652,27,6.8,PAL,LeNet,0.647818618832676,0.006548208132823858
28,0.250288605399302,0.4851257515891973,28,6.8,PAL,LeNet,0.647818618832676,0.006993875748518697
29,0.4868933695506515,0.3639677135553562,29,6.8,PAL,LeNet,0.647818618832676,0.006368287715641153
30,0.3582923027740537,0.3618965393770712,30,6.8,PAL,LeNet,0.647818618832676,0.009303651596965914
31,0.3350858123837338,0.2818804642483402,31,6.8,PAL,LeNet,0.647818618832676,0.008251578884248654
32,0.39739824283686015,0.17006623548546207,32,6.8,PAL,LeNet,0.6556690457163359,0.0034233465229432203
33,0.3909120453014426,0.1757725151005927,33,6.8,PAL,LeNet,0.6557402662543377,0.0031796333357335073
34,0.2757102503058451,0.4134576116993225,34,6.8,PAL,LeNet,0.6557402662543377,0.003642090247621268
35,0.5355580351966157,0.20622408178902504,35,6.8,PAL,LeNet,0.6557402662543377,0.00040141928721384556
36,0.176962824467598,0.271194624391422,36,6.8,PAL,LeNet,0.6717493291083259,0.008292571235422857
37,0.1717103407924721,0.401005346279082,37,6.8,PAL,LeNet,0.674895538748483,0.0054419031600414615
38,0.2841655545526381,0.3435591559425176,38,6.8,PAL,LeNet,0.674895538748483,0.008241598932587189
39,0.5301646985530586,0.3072917258297282,39,6.8,PAL,LeNet,0.674895538748483,0.00825442611820711
40,0.4945545875333175,0.5627005021288076,40,6.8,PAL,LeNet,0.674895538748483,0.005657142566167221
41,0.227544166161952,0.16096648291956694,41,6.8,PAL,LeNet,0.6881264984269323,0.004397730172506251
42,0.25245071700171096,0.3124982216793596,42,6.8,PAL,LeNet,0.6881264984269324,0.005949982224529275
43,0.1581218883372191,0.500155166582779,43,6.8,PAL,LeNet,0.6949186161808261,0.005091582343877216
44,0.3552573397884269,0.4080970994985407,44,6.8,PAL,LeNet,0.6949186161808261,0.008775970631625616
45,0.22270891744740307,0.2089950864390627,45,6.8,PAL,LeNet,0.6952193664167557,0.007687173938481731
46,0.33991022888568295,0.2258247871052916,46,6.8,PAL,LeNet,0.6952193664167557,0.0030685426875537293
47,0.2371671524153009,0.5080810426666713,47,6.8,PAL,LeNet,0.6952193664167557,0.007184611206642186
48,0.3671281395428859,0.4360572097022484,48,6.8,PAL,LeNet,0.6952193664167557,0.003174251124736255
49,0.2669875975958296,0.5935272603796077,49,6.8,PAL,LeNet,0.6952193664167557,0.009133402804916079
50,0.2709863166514862,0.4069099239553981,50,6.8,PAL,LeNet,0.6952193664167557,0.007674978800355101
51,0.5001845415302828,0.17180542485999425,51,6.8,PAL,LeNet,0.6952193664167557,0.003435857128892106
