,Unnamed: 0,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption,number_of_cores
35,35,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config35,1,0,0,0,1420800,1,1300500000,1,1866000000,0.17546187506781685,3281.666666666666,1
36,36,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config36,1,0,0,0,1420800,1,140250000,1,1062400000,0.9126342402564156,3604.111111111111,1
37,37,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config37,1,0,0,0,1420800,1,140250000,1,1331200000,0.8765067524380155,3867.888888888889,1
38,38,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config38,1,0,0,0,1420800,1,140250000,1,1600000000,0.8729379706912571,4022.0,1
39,39,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config39,1,0,0,0,1420800,1,140250000,1,1866000000,0.8966322475009494,4304.88888888889,1
40,40,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config40,1,0,0,0,1420800,1,497250000,1,1062400000,0.31138367123074,2345.0,1
41,41,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config41,1,0,0,0,1420800,1,497250000,1,1331200000,0.2969936529795329,2497.444444444445,1
42,42,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config42,1,0,0,0,1420800,1,497250000,1,1600000000,0.28926626841227215,2530.777777777778,1
43,43,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config43,1,0,0,0,1420800,1,497250000,1,1866000000,0.28480953640407985,2556.0,1
44,44,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config44,1,0,0,0,1420800,1,943500000,1,1062400000,0.23023366928100586,2048.3333333333335,1
45,45,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config45,1,0,0,0,1420800,1,943500000,1,1331200000,0.20963234371609155,2149.6666666666665,1
46,46,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config46,1,0,0,0,1420800,1,943500000,1,1600000000,0.20124419530232748,2140.444444444445,1
47,47,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config47,1,0,0,0,1420800,1,943500000,1,1866000000,0.19152937995062935,2242.222222222222,1
48,48,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config48,1,0,0,0,1574400,1,1300500000,1,1062400000,0.20246140162150064,3164.555555555555,1
49,49,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config49,1,0,0,0,1574400,1,1300500000,1,1331200000,0.1868216726515028,3198.0,1
50,50,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config50,1,0,0,0,1574400,1,1300500000,1,1600000000,0.16656708717346191,3493.333333333334,1
51,51,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config51,1,0,0,0,1574400,1,1300500000,1,1866000000,0.16520767741733128,3424.555555555555,1
52,52,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config52,1,0,0,0,1574400,1,140250000,1,1062400000,0.8841147687700059,3885.0,1
53,53,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config53,1,0,0,0,1574400,1,140250000,1,1331200000,0.8929042286343045,4199.0,1
54,54,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config54,1,0,0,0,1574400,1,140250000,1,1600000000,0.8740417957305908,4562.444444444444,1
55,55,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config55,1,0,0,0,1574400,1,140250000,1,1866000000,0.8704550266265869,4567.0,1
56,56,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config56,1,0,0,0,1574400,1,497250000,1,1062400000,0.3072413073645698,2455.1111111111113,1
57,57,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config57,1,0,0,0,1574400,1,497250000,1,1331200000,0.298243072297838,2530.8888888888887,1
58,58,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config58,1,0,0,0,1574400,1,497250000,1,1600000000,0.2909338739183214,2665.8888888888887,1
59,59,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config59,1,0,0,0,1574400,1,497250000,1,1866000000,0.2860744264390733,2708.0,1
60,60,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config60,1,0,0,0,1574400,1,943500000,1,1062400000,0.22388617197672525,2065.1111111111113,1
61,61,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config61,1,0,0,0,1574400,1,943500000,1,1331200000,0.20135389433966744,2115.3333333333335,1
62,62,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config62,1,0,0,0,1574400,1,943500000,1,1600000000,0.19213453928629556,2242.1111111111113,1
63,63,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config63,1,0,0,0,1574400,1,943500000,1,1866000000,0.18751804033915198,2318.0,1
64,64,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config64,1,0,0,0,1728000,1,1300500000,1,1062400000,0.1937199698554145,3383.666666666666,1
65,65,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config65,1,0,0,0,1728000,1,1300500000,1,1331200000,0.1756196551852756,3451.333333333334,1
66,66,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config66,1,0,0,0,1728000,1,1300500000,1,1600000000,0.16550789939032662,3467.888888888889,1
67,67,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config67,1,0,0,0,1728000,1,1300500000,1,1866000000,0.1597671773698595,3652.666666666666,1
68,68,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config68,1,0,0,0,1728000,1,140250000,1,1062400000,0.8871350023481581,4098.222222222223,1
69,69,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config69,1,0,0,0,1728000,1,140250000,1,1331200000,0.8771526548597548,4562.555555555556,1
70,70,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config70,1,0,0,0,1728000,1,140250000,1,1600000000,0.8716949621836344,4630.88888888889,1
71,71,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config71,1,0,0,0,1728000,1,140250000,1,1866000000,0.8957256476084391,5032.222222222223,1
72,72,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config72,1,0,0,0,1728000,1,497250000,1,1062400000,0.3042534987131755,2471.6666666666665,1
73,73,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config73,1,0,0,0,1728000,1,497250000,1,1331200000,0.29604970084296334,2640.6666666666665,1
74,74,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config74,1,0,0,0,1728000,1,497250000,1,1600000000,0.29055656327141655,2775.555555555555,1
75,75,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config75,1,0,0,0,1728000,1,497250000,1,1866000000,0.2870495584275987,2834.555555555555,1
76,76,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config76,1,0,0,0,1728000,1,943500000,1,1062400000,0.2302230993906657,2403.6666666666665,1
77,77,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config77,1,0,0,0,1728000,1,943500000,1,1331200000,0.2056809796227349,2597.555555555555,1
78,78,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config78,1,0,0,0,1728000,1,943500000,1,1600000000,0.19273601637946236,2699.1111111111113,1
79,79,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config79,1,0,0,0,1728000,1,943500000,1,1866000000,0.1814351346757677,2360.0,1
80,80,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config80,1,0,0,0,1881600,1,1300500000,1,1062400000,0.19066294034322104,3315.777777777778,1
81,81,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config81,1,0,0,0,1881600,1,1300500000,1,1331200000,0.17327883508470324,3535.555555555555,1
82,82,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config82,1,0,0,0,1881600,1,1300500000,1,1600000000,0.16014001104566786,3679.0,1
83,83,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config83,1,0,0,0,1881600,1,1300500000,1,1866000000,0.1547987461090088,3745.666666666666,1
84,84,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config84,1,0,0,0,1881600,1,140250000,1,1062400000,0.9134692351023356,4426.555555555556,1
