,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption
0,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config0,1,0,0,0,1113600,1,1300500000,1,1062400000,0.26057619518703884,4515.777777777777
1,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config1,1,0,0,0,1113600,1,1300500000,1,1331200000,0.2306626107957628,4455.555555555556
2,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config2,1,0,0,0,1113600,1,1300500000,1,1600000000,0.20987976921929252,4540.333333333333
3,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config3,1,0,0,0,1113600,1,1300500000,1,1866000000,0.2027226554022895,4640.222222222223
4,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config4,1,0,0,0,1113600,1,140250000,1,1062400000,1.2248860994974773,4249.333333333333
5,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config5,1,0,0,0,1113600,1,140250000,1,1331200000,1.2042221228281658,4750.666666666667
6,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config6,1,0,0,0,1113600,1,140250000,1,1600000000,1.2158035437266033,4961.888888888889
7,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config7,1,0,0,0,1113600,1,140250000,1,1866000000,1.2056864632500544,5201.222222222223
8,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config8,1,0,0,0,1113600,1,497250000,1,1062400000,0.4260820812649197,2995.3333333333335
9,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config9,1,0,0,0,1113600,1,497250000,1,1331200000,0.3996499379475911,3157.4444444444443
10,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config10,1,0,0,0,1113600,1,497250000,1,1600000000,0.3857252067989773,3258.777777777778
11,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config11,1,0,0,0,1113600,1,497250000,1,1866000000,0.4014541043175591,3688.8888888888887
12,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config12,1,0,0,0,1113600,1,943500000,1,1062400000,0.32304567760891384,3758.0
13,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config13,1,0,0,0,1113600,1,943500000,1,1331200000,0.29498934745788574,3935.5555555555557
14,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config14,1,0,0,0,1113600,1,943500000,1,1600000000,0.2830220063527425,3985.3333333333335
15,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config15,1,0,0,0,1113600,1,943500000,1,1866000000,0.2728908856709798,4221.444444444444
16,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config16,1,0,0,0,1267200,1,1300500000,1,1062400000,0.2925089995066325,5930.111111111111
17,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config17,1,0,0,0,1267200,1,1300500000,1,1331200000,0.26839354303148055,6640.444444444444
18,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config18,1,0,0,0,1267200,1,1300500000,1,1600000000,0.21883731418185765,7350.0
19,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config19,1,0,0,0,1267200,1,1300500000,1,1866000000,0.21413355403476292,7771.333333333333
20,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config20,1,0,0,0,1267200,1,140250000,1,1062400000,1.2202860249413385,4521.555555555556
21,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config21,1,0,0,0,1267200,1,140250000,1,1331200000,1.2027123504214816,5316.888888888889
22,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config22,1,0,0,0,1267200,1,140250000,1,1600000000,1.201611147986518,5538.222222222223
23,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config23,1,0,0,0,1267200,1,140250000,1,1866000000,1.222208023071289,5937.0
24,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config24,1,0,0,0,1267200,1,497250000,1,1062400000,0.45815353923373753,3614.4444444444443
25,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config25,1,0,0,0,1267200,1,497250000,1,1331200000,0.4276946915520562,4053.8888888888887
26,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config26,1,0,0,0,1267200,1,497250000,1,1600000000,0.399449004067315,4180.555555555556
27,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config27,1,0,0,0,1267200,1,497250000,1,1866000000,0.3877023590935601,4391.333333333333
28,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config28,1,0,0,0,1267200,1,943500000,1,1062400000,0.30237624380323624,3927.1111111111113
29,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config29,1,0,0,0,1267200,1,943500000,1,1331200000,0.2760569254557292,4316.111111111111
30,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config30,1,0,0,0,1267200,1,943500000,1,1600000000,0.26113200187683105,4890.666666666667
31,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config31,1,0,0,0,1267200,1,943500000,1,1866000000,0.25458648469712997,5169.111111111111
32,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config32,1,0,0,0,1420800,1,1300500000,1,1062400000,0.2876658969455295,6479.888888888889
33,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config33,1,0,0,0,1420800,1,1300500000,1,1331200000,0.2572476863861084,8147.666666666667
34,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config34,1,0,0,0,1420800,1,1300500000,1,1600000000,0.23455887370639378,7672.222222222223
35,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config35,1,0,0,0,1420800,1,1300500000,1,1866000000,0.2314668231540256,7289.111111111111
36,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config36,1,0,0,0,1420800,1,140250000,1,1062400000,1.2057595517900255,5333.888888888889
37,xception,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config37,1,0,0,0,1420800,1,140250000,1,1331200000,1.216022703382704,5934.444444444444
