,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption
165,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config165,1,0,0,0,806400,1,140250000,1,1331200000,0.9537355369991727,2387.3333333333335
166,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config166,1,0,0,0,806400,1,140250000,1,1600000000,0.9559637970394559,2487.3333333333335
167,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config167,1,0,0,0,806400,1,140250000,1,1866000000,0.9431348906622993,2504.4444444444443
168,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config168,1,0,0,0,806400,1,497250000,1,1062400000,0.4385489887661404,1904.888888888889
169,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config169,1,0,0,0,806400,1,497250000,1,1331200000,0.38766908645629883,1845.4444444444443
170,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config170,1,0,0,0,806400,1,497250000,1,1600000000,0.3878294891781277,1887.888888888889
171,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config171,1,0,0,0,806400,1,497250000,1,1866000000,0.3776724338531494,1971.4444444444443
172,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config172,1,0,0,0,806400,1,943500000,1,1062400000,0.44045397970411515,1752.4444444444443
173,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config173,1,0,0,0,806400,1,943500000,1,1331200000,0.3086669445037842,1701.3333333333333
174,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config174,1,0,0,0,806400,1,943500000,1,1600000000,0.30094101693895126,1718.111111111111
175,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config175,1,0,0,0,806400,1,943500000,1,1866000000,0.30150553915235734,1878.6666666666667
176,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config176,1,0,0,0,960000,1,1300500000,1,1062400000,0.28739894760979545,2733.1111111111113
177,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config177,1,0,0,0,960000,1,1300500000,1,1331200000,0.26746177673339844,2927.8888888888887
178,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config178,1,0,0,0,960000,1,1300500000,1,1600000000,0.25855183601379395,3071.5555555555557
179,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config179,1,0,0,0,960000,1,1300500000,1,1866000000,0.2478732532925076,2901.5555555555557
180,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config180,1,0,0,0,960000,1,140250000,1,1062400000,1.0078908072577581,2870.5555555555557
181,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config181,1,0,0,0,960000,1,140250000,1,1331200000,0.9446433385213217,2876.777777777778
182,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config182,1,0,0,0,960000,1,140250000,1,1600000000,0.940612898932563,2901.4444444444443
183,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config183,1,0,0,0,960000,1,140250000,1,1866000000,0.9128043121761746,3029.0
184,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config184,1,0,0,0,960000,1,497250000,1,1062400000,0.3881389829847548,2040.0
185,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config185,1,0,0,0,960000,1,497250000,1,1331200000,0.37087620629204643,2073.777777777778
186,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config186,1,0,0,0,960000,1,497250000,1,1600000000,0.3576171663072374,2090.777777777778
